variety,colour
cabernet sauvignon-cabernet franc,red
baco noir,red
veltliner,white
tempranillo-tannat,red
morillon,red
touriga franca,red
picolit,white
barbera-nebbiolo,red
prieto picudo,red
gaglioppo,red
tokay,white
sacy,white
piedirosso,red
piquepoul blanc,white
mansois,red
chardonnay-sauvignon,white
tempranillo-garnacha,red
carmenère-cabernet sauvignon,red
chenin blanc-viognier,white
susumaniello,red
vitovska,white
orange muscat,white
grauburgunder,white
carignane,red
moscatel roxo,white
tannat-merlot,red
nerello cappuccio,red
counoise,red
macabeo,white
mazuelo,red
sauvignon-sémillon,white
tinta del pais,red
vranec,red
mavrud,red
cesanese d'affile,red
moscato giallo,white
debit,white
verdil,white
cabernet,red
verduzzo friulano,white
treixadura,white
loin de l'oeil,white
coda di volpe,white
grenache-mourvèdre,red
forcallà,red
viura-verdejo,white
bombino bianco,white
pinot-chardonnay,red
syrah-tempranillo,red
cabernet sauvignon-barbera,red
merlot-cabernet,red
muscat d'alexandrie,white
jaen,red
tinta del toro,red
timorasso,white
pigato,white
sangiovese-cabernet sauvignon,red
shiraz-cabernet,red
viognier-gewürztraminer,white
prunelard,red
sauvignon blanc-chenin blanc,white
gros plant,white
malbec-petit verdot,red
colombard-ugni blanc,white
grignolino,red
garnacha-syrah,red
rufete,red
tempranillo-shiraz,red
mtsvane,white
chardonnay-pinot gris,white
marawi,white
chardonnay-pinot blanc,white
mataro,red
tinta cao,red
blauer portugieser,red
ugni blanc,white
groppello,red
semillon-chardonnay,white
irsai oliver,white
alvarelhão,red
poulsard,red
grenache-shiraz,red
baga-touriga nacional,red
carineña,red
pignoletto,white
muscatel,white
mavrodaphne,red
ciliegiolo,red
viognier-grenache blanc,white
greco bianco,white
cabernet sauvignon-merlot-shiraz,red
sciaccerellu,red
zelen,white
alicante,red
emir,white
rosenmuskateller,rosé
tsolikouri,white
narince,white
malbec-cabernet,red
touriga,red
grecanico,white
carmenère-syrah,red
madeleine angevine,white
mavroudi,red
pinot blanc-pinot noir,red
muscat hamburg,red
tempranillo blanco,white
casavecchia,red
pinot gris-gewürztraminer,red
white riesling,white
tinto velasco,red
hondarrabi zuri,white
nuragus,white
xynisteri,white
kadarka,red
sauvignon musqué,white
roussanne-marsanne,white
incrocio manzoni,white
terrantez,white
bual,white
okuzgozu,red
rivaner,white
doña blanca,white
graševina,white
lambrusco salamino,red
sangiovese-syrah,red
tannat-cabernet franc,red
thrapsathiri,white
fer servadou,red
mission,red
kekfrankos,red
cococciola,white
blauburgunder,red
marquette,red
romorantin,white
verdejo-sauvignon blanc,white
braucol,red
malvasia-viura,red
savatiano,white
cabernet franc-malbec,red
pallagrello nero,red
rebula,white
vespolina,red
shiraz-malbec,red
rebo,red
